alpha_ent,k,n_topics,n_neighbours,alpha_word,score_deezer,score_itunes
0.30,20,10,5,0.2,48.67809999999999,51.6682
0.30,20,10,5,0.3,48.67809999999999,51.6682
0.30,20,10,5,0.4,49.6023,50.99510000000001
0.30,20,10,5,0.5,49.8568,48.942800000000005
0.30,20,10,10,0.2,52.903800000000004,51.369600000000005
0.30,20,10,10,0.3,52.903800000000004,51.369600000000005
0.30,20,10,10,0.4,54.578,52.581900000000005
0.30,20,10,10,0.5,52.162200000000006,51.64719999999999
0.30,20,10,20,0.2,51.747600000000006,51.4062
0.30,20,10,20,0.3,51.747600000000006,51.4062
0.30,20,10,20,0.4,53.47930000000001,50.824000000000005
0.30,20,10,20,0.5,54.6106,50.1422
0.30,20,10,500,0.2,47.9118,51.432599999999994
0.30,20,10,500,0.3,49.9327,51.6123
0.30,20,10,500,0.4,54.2481,51.32730000000001
0.30,20,10,500,0.5,54.7072,48.678399999999996
0.30,20,20,5,0.2,55.7671,52.913999999999994
0.30,20,20,5,0.3,55.7671,52.913999999999994
0.30,20,20,5,0.4,55.76320000000001,53.2903
0.30,20,20,5,0.5,54.5663,54.4027
0.30,20,20,10,0.2,52.1581,53.34589999999999
0.30,20,20,10,0.3,53.19299999999999,53.34589999999999
0.30,20,20,10,0.4,53.2694,53.678799999999995
0.30,20,20,10,0.5,54.6433,51.5532
0.30,20,20,20,0.2,51.733399999999996,52.204699999999995
0.30,20,20,20,0.3,51.733399999999996,52.383100000000006
0.30,20,20,20,0.4,54.3042,52.2345
0.30,20,20,20,0.5,54.12420000000001,48.00050000000001
0.30,20,20,500,0.2,51.6667,49.9518
0.30,20,20,500,0.3,52.28659999999999,51.9444
0.30,20,20,500,0.4,56.582,51.427
0.30,20,20,500,0.5,54.7855,47.81960000000001
0.30,20,50,5,0.2,52.6721,47.63280000000001
0.30,20,50,5,0.3,52.6721,47.63280000000001
0.30,20,50,5,0.4,52.7124,51.0103
0.30,20,50,5,0.5,53.8133,50.944500000000005
0.30,20,50,10,0.2,50.0579,50.0865
0.30,20,50,10,0.3,49.8582,50.0865
0.30,20,50,10,0.4,48.7716,51.152699999999996
0.30,20,50,10,0.5,50.31420000000001,52.60790000000001
0.30,20,50,20,0.2,53.443200000000004,53.0115
0.30,20,50,20,0.3,53.443200000000004,53.253699999999995
0.30,20,50,20,0.4,50.533899999999996,52.991899999999994
0.30,20,50,20,0.5,49.29749999999999,52.221500000000006
0.30,20,50,500,0.2,51.704499999999996,49.5619
0.30,20,50,500,0.3,55.03320000000001,48.8718
0.30,20,50,500,0.4,48.25899999999999,53.1304
0.30,20,50,500,0.5,52.332,52.0615
0.30,20,100,5,0.2,51.8291,48.92040000000001
0.30,20,100,5,0.3,51.8291,49.7133
0.30,20,100,5,0.4,51.4947,49.3063
0.30,20,100,5,0.5,53.377200000000016,49.786100000000005
0.30,20,100,10,0.2,51.444100000000006,51.9271
0.30,20,100,10,0.3,51.7548,49.79090000000001
0.30,20,100,10,0.4,52.017900000000004,53.001799999999996
0.30,20,100,10,0.5,53.9718,49.3421
0.30,20,100,20,0.2,53.015,53.21509999999999
0.30,20,100,20,0.3,50.461999999999996,53.950300000000006
0.30,20,100,20,0.4,51.5145,51.6559
0.30,20,100,20,0.5,49.549699999999994,48.7945
0.30,20,100,500,0.2,51.3733,50.8772
0.30,20,100,500,0.3,49.9962,52.148
0.30,20,100,500,0.4,51.7662,51.128800000000005
0.30,20,100,500,0.5,49.02799999999999,52.8694
0.30,50,10,5,0.2,48.67809999999999,51.6682
0.30,50,10,5,0.3,48.67809999999999,51.6682
0.30,50,10,5,0.4,49.6023,50.99510000000001
0.30,50,10,5,0.5,49.8568,48.942800000000005
0.30,50,10,10,0.2,52.903800000000004,51.369600000000005
0.30,50,10,10,0.3,52.903800000000004,51.369600000000005
0.30,50,10,10,0.4,54.578,52.581900000000005
0.30,50,10,10,0.5,52.162200000000006,51.64719999999999
0.30,50,10,20,0.2,51.747600000000006,51.4062
0.30,50,10,20,0.3,51.747600000000006,51.4062
